date,coin,value
2016-01-01,bitcoin,430.72
2016-01-01,ripple,0.00604
2016-01-01,ethereum,0.933712
2016-01-02,bitcoin,434.62
2016-01-02,ripple,0.005957
2016-01-02,ethereum,0.947401
2016-01-03,bitcoin,433.58
2016-01-03,ripple,0.006065999999999999
2016-01-03,ethereum,0.93843
2016-01-04,ethereum,0.972045
2016-01-04,bitcoin,430.06
2016-01-04,ripple,0.006019
2016-01-05,bitcoin,433.07
2016-01-05,ethereum,0.953147
2016-01-05,ripple,0.005954
2016-01-06,bitcoin,431.86
2016-01-06,ethereum,0.950028
2016-01-06,ripple,0.006044
2016-01-07,bitcoin,430.01
2016-01-07,ethereum,0.955801
2016-01-07,ripple,0.005998
2016-01-08,ripple,0.00604
2016-01-08,ethereum,0.942752
2016-01-08,bitcoin,457.54
2016-01-09,ripple,0.005937
2016-01-09,bitcoin,453.38
2016-01-09,ethereum,0.985501
2016-01-10,ripple,0.005982
2016-01-10,bitcoin,448.24
2016-01-10,ethereum,0.985557
2016-01-11,bitcoin,448.7
2016-01-11,ethereum,0.999216
2016-01-11,ripple,0.005963
2016-01-12,ripple,0.0058920000000000005
2016-01-12,bitcoin,448.18
2016-01-12,ethereum,1.07
2016-01-13,bitcoin,434.67
2016-01-13,ethereum,1.14
2016-01-13,ripple,0.005836
2016-01-14,ripple,0.005795000000000001
2016-01-14,bitcoin,432.29
2016-01-14,ethereum,1.12
2016-01-15,bitcoin,430.25
2016-01-15,ripple,0.005528
2016-01-15,ethereum,1.18
2016-01-16,ethereum,1.22
2016-01-16,bitcoin,365.07
2016-01-16,ripple,0.005221
2016-01-17,bitcoin,387.15
2016-01-17,ethereum,1.22
2016-01-17,ripple,0.00511
2016-01-18,ethereum,1.33
2016-01-18,ripple,0.00527
2016-01-18,bitcoin,381.73
2016-01-19,ripple,0.00533
2016-01-19,bitcoin,387.03
2016-01-19,ethereum,1.42
2016-01-20,bitcoin,379.74
2016-01-20,ripple,0.0052710000000000005
2016-01-20,ethereum,1.36
2016-01-21,ethereum,1.53
2016-01-21,bitcoin,419.63
2016-01-21,ripple,0.005370000000000001
2016-01-22,ripple,0.005314
2016-01-22,ethereum,1.55
2016-01-22,bitcoin,409.75
2016-01-23,bitcoin,382.43
2016-01-23,ripple,0.005109000000000001
2016-01-23,ethereum,1.5
2016-01-24,bitcoin,388.1
2016-01-24,ripple,0.005121
2016-01-24,ethereum,1.9
2016-01-25,bitcoin,402.32
2016-01-25,ethereum,2.15
2016-01-25,ripple,0.005218
2016-01-26,ripple,0.005138
2016-01-26,bitcoin,392.0
2016-01-26,ethereum,2.53
2016-01-27,ripple,0.005408
2016-01-27,bitcoin,392.44
2016-01-27,ethereum,2.25
2016-01-28,ripple,0.006506999999999999
2016-01-28,ethereum,2.41
2016-01-28,bitcoin,395.15
2016-01-29,ripple,0.006228
2016-01-29,ethereum,2.54
2016-01-29,bitcoin,380.11
2016-01-30,ethereum,2.51
2016-01-30,ripple,0.006823999999999999
2016-01-30,bitcoin,378.87
2016-01-31,ripple,0.006631000000000001
2016-01-31,ethereum,2.44
2016-01-31,bitcoin,378.29
2016-02-01,ripple,0.006398
2016-02-01,ethereum,2.32
2016-02-01,bitcoin,369.35
2016-02-02,bitcoin,372.92
2016-02-02,ethereum,2.22
2016-02-02,ripple,0.0065450000000000005
2016-02-03,bitcoin,374.65
2016-02-03,ethereum,2.43
2016-02-03,ripple,0.006770999999999999
2016-02-04,bitcoin,370.17
2016-02-04,ethereum,2.53
2016-02-04,ripple,0.006881999999999999
2016-02-05,ripple,0.006965000000000001
2016-02-05,ethereum,2.57
2016-02-05,bitcoin,388.9
2016-02-06,ripple,0.007273000000000002
2016-02-06,ethereum,2.53
2016-02-06,bitcoin,386.59
2016-02-07,ripple,0.007923999999999999
2016-02-07,ethereum,2.54
2016-02-07,bitcoin,376.51
2016-02-08,ripple,0.008375
2016-02-08,ethereum,2.97
2016-02-08,bitcoin,376.76
2016-02-09,bitcoin,373.42
2016-02-09,ethereum,3.17
2016-02-09,ripple,0.007999
2016-02-10,ripple,0.007826999999999999
2016-02-10,bitcoin,376.15
2016-02-10,ethereum,4.0
2016-02-11,bitcoin,382.11
2016-02-11,ethereum,4.5
2016-02-11,ripple,0.007857
2016-02-12,ethereum,5.95
